experiment_id,machine,queue,target,variant,variant_kind,variant_description,gpu,status,started_at,finished_at,duration_seconds,duration_minutes,run_id,launch_id,embed_dropout,resid_dropout,drop_path,max_epochs,num_codebook_vectors,fox_remote_read_topk,fox_remote_read_topk_initial,fox_remote_read_topk_final,fox_remote_read_topk_release_start_train_steps,fox_remote_read_topk_release_end_train_steps,fox_remote_read_topk_schedule,fox_remote_read_topk_eval_policy,fox_gd_residual_dense_read_chunked,fox_gd_residual_rank,fox_gd_residual_write_topk,final_valid_loss,final_valid_accuracy,best_valid_accuracy,final_1024x256_accuracy,best_1024x256_accuracy,best_final_1024x256_gap,n_validation_summaries,n_validation_summary_lines,log_path,log_sha256,result_json,result_sha256,config_json,config_sha256,zoology_commit,flash_vqg_commit
20260703-03-flash-vqg-softcap-stability-screen,2080ti,softcap-2080ti-gpu0-baseline-inject,baseline-r2-no-trace,baseline-r2-no-trace,fixed,"default-dropout fixed read_topk=2 baseline, no trace and no softcap",0,completed,2026-07-03T16:10:36+08:00,2026-07-03T17:17:52+08:00,4036.0,67.26666666666667,20260703-03-flash-vqg-softcap-stability-screen-baseline-r2-no-trace-s124-d123-b64ga4-2080ti-softcap-2080ti-gpu0-baseline-inject,fvqg-20260703-03-flash-vqg-softcap-stability-screen-2080ti-baseline-r2-no-trace-softcap-2080ti-gpu0-baseline-inject,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.49,0.954,0.954,0.74,0.74,0.0,4,8,zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu0-baseline-inject-20260703T0812Z/logs/baseline-r2-no-trace.log,77f859ee2999d5c0e17f302a8ea12911a17c411e84f4bace7ba40996b0de7a79,zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu0-baseline-inject-20260703T0812Z/results/baseline-r2-no-trace.json,f85dfaf42228b15c7d28e1c4d00d54f6e39aad67b14667a9dd35b44c47bbf056,zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu0-baseline-inject-20260703T0812Z/configs/baseline-r2-no-trace.json,e702bdd4ade26192f604b97255af0b1726e631a0908b75c01699cf599d381d6c,6ff03df,4f85186
20260703-03-flash-vqg-softcap-stability-screen,2080ti,softcap-2080ti-gpu0-baseline-inject,inject-softcap0p5-r2,inject-softcap0p5-r2,fixed,default-dropout fixed read_topk=2 with injection smooth_p4 softcap ratio=0.5,0,completed,2026-07-03T17:24:55+08:00,2026-07-03T17:29:55+08:00,300.0,5.0,20260703-03-flash-vqg-softcap-stability-screen-inject-softcap0p5-r2-s124-d123-b64ga4-2080ti-softcap-2080ti-gpu0-baseline-inject,fvqg-20260703-03-flash-vqg-softcap-stability-screen-2080ti-inject-softcap0p5-r2-softcap-2080ti-gpu0-baseline-inject,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,,0,0.0,0,0.0,0.0,1,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu0-remainder-20260703T0925Z/logs/inject-softcap0p5-r2.log,42ae22004734368c9fbeb4e0c287682ea84a257a1a2f8eb98ff35400b7f8100f,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu0-remainder-20260703T0925Z/results/inject-softcap0p5-r2.json,28196b86eb8850c5cc5a5c6ec698f4a23701ee154ece910f9592b45a7466d61d,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu0-remainder-20260703T0925Z/configs/inject-softcap0p5-r2.json,98ae259543e48b5e573d5929ad5e14e1b789e24046eb1cb023a50f2322d22b37,6ff03df,4f85186
20260703-03-flash-vqg-softcap-stability-screen,2080ti,softcap-2080ti-gpu0-baseline-inject,update-softcap0p5-linear512-r2,update-softcap0p5-linear512-r2,fixed,M_state update_norm smooth_p4 softcap=0.5 plus residual injection linear warmup 0->512 optimizer steps,0,completed,2026-07-03T17:32:35+08:00,2026-07-03T19:21:36+08:00,6541.0,109.01666666666667,20260703-03-flash-vqg-softcap-stability-screen-update-softcap0p5-linear512-r2-s124-d123-b64ga4-2080ti-softcap-2080ti-gpu0-baseline-inject,fvqg-20260703-03-flash-vqg-softcap-stability-screen-2080ti-update-softcap0p5-linear512-r2-softcap-2080ti-gpu0-baseline-inject,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.24,0.982,0.982,0.903,0.903,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu0-updatelin-20260703T0932Z/logs/update-softcap0p5-linear512-r2.log,1160d3a319d8c231ac122d4cd62dc8bb5f4397476c6560d01e7c99b3145906dd,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu0-updatelin-20260703T0932Z/results/update-softcap0p5-linear512-r2.json,669b7911e10a7563fb438a29acea2776a38326807efa90417ebb600a52000e19,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu0-updatelin-20260703T0932Z/configs/update-softcap0p5-linear512-r2.json,a50cd8a9e67ddad9caaecbde19feff08a1509b07c78c889028165a926abc9a7b,6ff03df,4f85186
20260703-03-flash-vqg-softcap-stability-screen,2080ti,softcap-2080ti-gpu1-injectlin-update,inject-softcap0p5-linear512-r2,inject-softcap0p5-linear512-r2,fixed,injection smooth_p4 softcap ratio=0.5 plus residual injection linear warmup 0->512 optimizer steps,1,completed,2026-07-03T16:10:36+08:00,2026-07-03T16:15:36+08:00,300.0,5.0,20260703-03-flash-vqg-softcap-stability-screen-inject-softcap0p5-linear512-r2-s124-d123-b64ga4-2080ti-softcap-2080ti-gpu1-injectlin-update,fvqg-20260703-03-flash-vqg-softcap-stability-screen-2080ti-inject-softcap0p5-linear512-r2-softcap-2080ti-gpu1-injectlin-update,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,,0,0.0,0,0.0,0.0,1,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu1-injectlin-update-20260703T0812Z/logs/inject-softcap0p5-linear512-r2.log,ac32e13443fb2bbfdf97dd8621308c801df127775de198410d22857ccba9f187,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu1-injectlin-update-20260703T0812Z/results/inject-softcap0p5-linear512-r2.json,4eed55db6279688fd026ac2af9f73c97d0c30b6eb5a6687379dd3137fd902b9c,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu1-injectlin-update-20260703T0812Z/configs/inject-softcap0p5-linear512-r2.json,74e324ecd0ff7dbedb69b7339acdfc4dbc5264577605b8ed1978e5d90fdfdd95,fb7851d,4f85186
20260703-03-flash-vqg-softcap-stability-screen,2080ti,softcap-2080ti-gpu1-injectlin-update,update-softcap0p5-r2,update-softcap0p5-r2,fixed,default-dropout fixed read_topk=2 with M_state update_norm smooth_p4 softcap=0.5,1,completed,2026-07-03T16:15:49+08:00,2026-07-03T18:00:49+08:00,6300.0,105.0,20260703-03-flash-vqg-softcap-stability-screen-update-softcap0p5-r2-s124-d123-b64ga4-2080ti-softcap-2080ti-gpu1-injectlin-update,fvqg-20260703-03-flash-vqg-softcap-stability-screen-2080ti-update-softcap0p5-r2-softcap-2080ti-gpu1-injectlin-update,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.392,0.96,0.96,0.806,0.806,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu1-injectlin-update-20260703T0812Z/logs/update-softcap0p5-r2.log,8a047ed62a1603286a42dd6bdae91e31b92a407699edaa6729fd5e55dfa2d33a,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu1-injectlin-update-20260703T0812Z/results/update-softcap0p5-r2.json,22927bc6b507ad7471bb8958c3fc0e6594c4f4242e955eb37ffa9e4092479f78,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-2080ti-gpu1-injectlin-update-20260703T0812Z/configs/update-softcap0p5-r2.json,ae49414c9652946caeb779c1876f6d55d6fb63244e333f77b6c165c5f5ce51ab,6ff03df,4f85186
20260703-03-flash-vqg-softcap-stability-screen,3090,softcap-3090-gpu0-all,baseline-r2-no-trace,baseline-r2-no-trace,fixed,"default-dropout fixed read_topk=2 baseline, no trace and no softcap",0,completed,2026-07-03T08:10:32+00:00,2026-07-03T19:56:38+08:00,13566.0,226.1,20260703-03-flash-vqg-softcap-stability-screen-baseline-r2-no-trace-s124-d123-b64ga4-3090-softcap-3090-gpu0-all,fvqg-20260703-03-flash-vqg-softcap-stability-screen-3090-baseline-r2-no-trace-softcap-3090-gpu0-all,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.803,0.906,0.906,0.46,0.46,0.0,4,8,zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-all-20260703T0812Z/logs/baseline-r2-no-trace.log,49203487946d2cb23865861a262e7d6dd2c1489baa2ad8d85c5692a199e7cd62,zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-all-20260703T0812Z/results/baseline-r2-no-trace.json,37a62e746153e8e8959b43264fb8379eabf69a544ca75debe0d97e8fdfa78cb2,zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-all-20260703T0812Z/configs/baseline-r2-no-trace.json,7710b43f1f0d9f125384f87d1ffac84cab53e2f2c0bc663bc37274c343061c63,fb7851d,4f85186
20260703-03-flash-vqg-softcap-stability-screen,3090,softcap-3090-gpu0-all,inject-softcap0p5-r2,inject-softcap0p5-r2,fixed,default-dropout fixed read_topk=2 with injection smooth_p4 softcap ratio=0.5,0,completed,2026-07-03T09:03:41+00:00,2026-07-03T09:08:41+00:00,300.0,5.0,20260703-03-flash-vqg-softcap-stability-screen-inject-softcap0p5-r2-s124-d123-b64ga4-3090-softcap-3090-gpu0-all,fvqg-20260703-03-flash-vqg-softcap-stability-screen-3090-inject-softcap0p5-r2-softcap-3090-gpu0-all,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,,0,0.0,0,0.0,0.0,1,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/logs/inject-softcap0p5-r2.log,7e2b944c69c2e196bdaa597faa9d41baf1d6a5057eac3107e80037e359d335db,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/results/inject-softcap0p5-r2.json,f4d6ae477d641fa4106eb876ae45beae86dfe5fab9b00ae2fd774ac94c62461a,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/configs/inject-softcap0p5-r2.json,8594a00f0ebbf0da95a319a55457b9b9076b7c261c0258e448d77a8e65ebfe39,6ff03df,4f85186
20260703-03-flash-vqg-softcap-stability-screen,3090,softcap-3090-gpu0-all,inject-softcap0p5-linear512-r2,inject-softcap0p5-linear512-r2,fixed,injection smooth_p4 softcap ratio=0.5 plus residual injection linear warmup 0->512 optimizer steps,0,completed,2026-07-03T09:08:52+00:00,2026-07-03T09:13:52+00:00,300.0,5.0,20260703-03-flash-vqg-softcap-stability-screen-inject-softcap0p5-linear512-r2-s124-d123-b64ga4-3090-softcap-3090-gpu0-all,fvqg-20260703-03-flash-vqg-softcap-stability-screen-3090-inject-softcap0p5-linear512-r2-softcap-3090-gpu0-all,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,,0,0.0,0,0.0,0.0,1,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/logs/inject-softcap0p5-linear512-r2.log,2415d9e3e5c6347a8e760015c2acf2e0a7a77dd68f4b281d6f61fbe40393ff27,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/results/inject-softcap0p5-linear512-r2.json,8ea1b8040a971ed8df22d4c9a101d248097c43916f702b221a8217092d9c0c16,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/configs/inject-softcap0p5-linear512-r2.json,8a940e370bf4dc01076ae6f81ff03f760822c7c02ccea895d3c2ec6ee0b9e569,6ff03df,4f85186
20260703-03-flash-vqg-softcap-stability-screen,3090,softcap-3090-gpu0-all,update-softcap0p5-r2,update-softcap0p5-r2,fixed,default-dropout fixed read_topk=2 with M_state update_norm smooth_p4 softcap=0.5,0,completed,2026-07-03T09:14:02+00:00,2026-07-03T10:25:02+00:00,4260.0,71.0,20260703-03-flash-vqg-softcap-stability-screen-update-softcap0p5-r2-s124-d123-b64ga4-3090-softcap-3090-gpu0-all,fvqg-20260703-03-flash-vqg-softcap-stability-screen-3090-update-softcap0p5-r2-softcap-3090-gpu0-all,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.796,0.911,0.911,0.508,0.508,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/logs/update-softcap0p5-r2.log,93197ba0f98de322dfcfed940ceccdf060fded0afae95a3fffcd6e65be480c27,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/results/update-softcap0p5-r2.json,fff299453f409d81ac8b2b42ea7e7b1c6532ecc98913556bb1672c8033abdc04,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/configs/update-softcap0p5-r2.json,07e451a0708422eafffd4d95c4d234ebc1c1850beadf3353b5569f0e53283f88,6ff03df,4f85186
20260703-03-flash-vqg-softcap-stability-screen,3090,softcap-3090-gpu0-all,update-softcap0p5-linear512-r2,update-softcap0p5-linear512-r2,fixed,M_state update_norm smooth_p4 softcap=0.5 plus residual injection linear warmup 0->512 optimizer steps,0,completed,2026-07-03T10:25:12+00:00,2026-07-03T11:46:13+00:00,4861.0,81.01666666666667,20260703-03-flash-vqg-softcap-stability-screen-update-softcap0p5-linear512-r2-s124-d123-b64ga4-3090-softcap-3090-gpu0-all,fvqg-20260703-03-flash-vqg-softcap-stability-screen-3090-update-softcap0p5-linear512-r2-softcap-3090-gpu0-all,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.476,0.943,0.943,0.708,0.708,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/logs/update-softcap0p5-linear512-r2.log,f9e7478eb141917a79af4880553fb895c0beee8e6db3a0f5e6730bbdf5bbb7ed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/results/update-softcap0p5-linear512-r2.json,5a76c62ef5df4bb2584c3b8e1025af7795c5c4a505d5da180e054f68b52eb7be,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-03-flash-vqg-softcap-stability-screen/outputs/softcap-3090-gpu0-remainder-20260703T0915Z/configs/update-softcap0p5-linear512-r2.json,ca7aa212e69ba4d692d5f2deb87cb932974bddfb01127b480dea30d6134868bc,6ff03df,4f85186
