experiment_id,machine,queue,target,variant,variant_kind,variant_description,gpu,status,started_at,finished_at,duration_seconds,duration_minutes,run_id,launch_id,embed_dropout,resid_dropout,drop_path,max_epochs,num_codebook_vectors,fox_remote_read_topk,fox_remote_read_topk_initial,fox_remote_read_topk_final,fox_remote_read_topk_release_start_train_steps,fox_remote_read_topk_release_end_train_steps,fox_remote_read_topk_schedule,fox_remote_read_topk_eval_policy,fox_gd_residual_dense_read_chunked,fox_gd_residual_rank,fox_gd_residual_write_topk,final_valid_loss,final_valid_accuracy,best_valid_accuracy,final_1024x256_accuracy,best_1024x256_accuracy,best_final_1024x256_gap,n_validation_summaries,n_validation_summary_lines,log_path,log_sha256,result_json,result_sha256,config_json,config_sha256,zoology_commit,flash_vqg_commit
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,unified-2080ti-gpu0,p0-fixed-r16-repro,p0-fixed-r16-repro,fixed,P0 same-seed fixed read_topk=16 repro,0,completed,2026-07-05T01:47:32+08:00,2026-07-05T02:39:32+08:00,3120.0,52.0,20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-p0-fixed-r16-repro-s124-d123-b64ga4-2080ti-unified-2080ti-gpu0-formal,fvqg-20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-2080ti-p0-fixed-r16-repro-unified-2080ti-gpu0-formal,0.1,0.0,0.0,1,64,16,,,0,0,linear_int,scheduled,False,16,4,0.371,0.973,0.973,0.861,0.861,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/p0-fixed-r16-repro.log,712971d47e708f3d277819dd0a8dc5f5659804385394d65626dfa5c63e7af1de,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/p0-fixed-r16-repro.json,231dce129ae1bc27636c1a7e9a82e37b8b56ef74af1a5efff5528df0b8388f38,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/p0-fixed-r16-repro.json,98b4a583d6b2413b84fc9e91749a58e6f6669b4ae14ed750a6feaa46c5a90af2,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,unified-2080ti-gpu0,sched16to8-linear512,sched16to8-linear512,fixed,P1 scheduled read_topk 16->8 over 512 optimizer steps,0,completed,2026-07-05T02:39:45+08:00,2026-07-05T03:49:45+08:00,4200.0,70.0,20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-sched16to8-linear512-s124-d123-b64ga4-2080ti-unified-2080ti-gpu0-formal,fvqg-20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-2080ti-sched16to8-linear512-unified-2080ti-gpu0-formal,0.1,0.0,0.0,1,64,,16,8,0,2048,linear_int,final,False,16,4,0.281,0.975,0.975,0.863,0.863,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/sched16to8-linear512.log,2803dea99c6708e33d8ce2bc664e5c36186b8cda8564c2b6c65be68a785077e7,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/sched16to8-linear512.json,bbb20d9e91da5926c24033bad3c075ea9bd4a842afda1b9e5047418747428235,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/sched16to8-linear512.json,59875a58991f11edc70662fd4586b953b1c1cebfb5632e29ba4a3fdb436a78eb,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,unified-2080ti-gpu0,trace-r2-readwrite-256,trace-r2-readwrite-256,fixed,P2 read snapshot plus inline update trace for read_topk=2,0,completed,2026-07-05T03:49:57+08:00,2026-07-05T04:05:57+08:00,960.0,16.0,20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-trace-r2-readwrite-256-s124-d123-b64ga4-2080ti-unified-2080ti-gpu0-formal,fvqg-20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-2080ti-trace-r2-readwrite-256-unified-2080ti-gpu0-formal,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,8.38,0.000266,0.000282,0.00025,0.00025,0.0,2,4,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/trace-r2-readwrite-256.log,f70111c561f1b2bfd4be785e1a4d33b33ad046261a5695911c3898158756e332,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/trace-r2-readwrite-256.json,09b20578d5a87b6b571872b215f4565e62d00b8950846fa1c0d5498ad5b7e641,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/trace-r2-readwrite-256.json,32c3e8d75b64c374cd9fcae18afd3324f803ce8fa1ba953030bbadf3854f2f81,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,unified-2080ti-gpu0,trace-r4-read-256,trace-r4-read-256,fixed,P2 read snapshot trace for read_topk=4,0,completed,2026-07-05T04:06:10+08:00,2026-07-05T04:22:10+08:00,960.0,16.0,20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-trace-r4-read-256-s124-d123-b64ga4-2080ti-unified-2080ti-gpu0-formal,fvqg-20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-2080ti-trace-r4-read-256-unified-2080ti-gpu0-formal,0.1,0.0,0.0,1,64,4,,,0,0,linear_int,scheduled,False,16,4,8.39,0.000257,0.000286,0.00025,0.00025,0.0,2,4,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/trace-r4-read-256.log,e76fc7a4a3dbfc455ae71924b2b7dedac5d01976deca17f6dc457efcff02bfaf,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/trace-r4-read-256.json,29f001f63202c42b1e930ecd0c8ac5062ea89cf7751d10cb0a7b327652276c4c,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/trace-r4-read-256.json,a0a0a4d27356affce22ad11120919b84bcf962bd581e8fc0ad09145395c56b54,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,unified-2080ti-gpu0,trace-r16-readwrite-256,trace-r16-readwrite-256,fixed,P2 read snapshot plus inline update trace for read_topk=16,0,completed,2026-07-05T04:22:23+08:00,2026-07-05T04:38:23+08:00,960.0,16.0,20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-trace-r16-readwrite-256-s124-d123-b64ga4-2080ti-unified-2080ti-gpu0-formal,fvqg-20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-2080ti-trace-r16-readwrite-256-unified-2080ti-gpu0-formal,0.1,0.0,0.0,1,64,16,,,0,0,linear_int,scheduled,False,16,4,8.39,0.000263,0.000275,0.00025,0.00025,0.0,2,4,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/trace-r16-readwrite-256.log,67bcebbd90dd1c1efb9135358116cf6805b51dd26d33c6415e28231252473285,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/trace-r16-readwrite-256.json,536203a33293406fb9afcc55e852c29e89ef092b60a1fc1b301fee6347d97339,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/trace-r16-readwrite-256.json,059093640a0652ae645ac25c5863dbd4947120add6a974f5151518ea2c5b1c6b,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,unified-2080ti-gpu0,trace-r64-read-256,trace-r64-read-256,fixed,P2 read snapshot trace for read_topk=64,0,completed,2026-07-05T04:38:35+08:00,2026-07-05T04:56:35+08:00,1080.0,18.0,20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-trace-r64-read-256-s124-d123-b64ga4-2080ti-unified-2080ti-gpu0-formal,fvqg-20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-2080ti-trace-r64-read-256-unified-2080ti-gpu0-formal,0.1,0.0,0.0,1,64,64,,,0,0,linear_int,scheduled,True,16,4,8.39,0.000255,0.000284,0.00025,0.00025,0.0,2,4,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/trace-r64-read-256.log,8deb1c51859a0e55a53b6423fc518af82659ac91578ef4e9683ae4fbd02482bd,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/trace-r64-read-256.json,fc8afc8fb73c6d3d5d34a363f82e0dc2f445243f0e24ca65a05622e60ca45ff6,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/trace-r64-read-256.json,b620e50885e2225a1740529041eb63126dc2872072f0f81b67aff15e58b23356,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,unified-2080ti-gpu0,r16-injconf,r16-injconf,fixed,P3 r16 with read-confidence-gated residual injection,0,completed,2026-07-05T04:56:48+08:00,2026-07-05T05:56:48+08:00,3600.0,60.0,20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-r16-injconf-s124-d123-b64ga4-2080ti-unified-2080ti-gpu0-formal,fvqg-20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-2080ti-r16-injconf-unified-2080ti-gpu0-formal,0.1,0.0,0.0,1,64,16,,,0,0,linear_int,scheduled,False,16,4,0.89,0.907,0.907,0.618,0.618,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/r16-injconf.log,70701ff247bd1105b25858b6ebbc983bdbb9eba6adae15300bae3051ed42ae08,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/r16-injconf.json,3fefedd7c3f9287fe7cda5a590cdd47df78f3c38144eb539745dc66bf952622f,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/r16-injconf.json,4ee8e37383f9b095dd3ecb297c723665c764a50bf0f131660845b62d46900cfc,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,unified-2080ti-gpu0,r16-softread,r16-softread,fixed,P3 r16 with read softmargin inside selected topk,0,completed,2026-07-05T05:57:01+08:00,2026-07-05T06:49:01+08:00,3120.0,52.0,20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-r16-softread-s124-d123-b64ga4-2080ti-unified-2080ti-gpu0-formal,fvqg-20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-2080ti-r16-softread-unified-2080ti-gpu0-formal,0.1,0.0,0.0,1,64,16,,,0,0,linear_int,scheduled,False,16,4,4.36,0.483,0.483,0.0148,0.0148,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/r16-softread.log,4a18216faf5b0fee8ffbfb92e0fa5c43ec22f1427aed111afd3160f6e362a06b,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/r16-softread.json,5b9988b8a09fc062fcae9bf3d2a30e96a1d585f998977654f2aebfcfb1ab2403,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/r16-softread.json,9596298478ba5e1c72840c10c8dabddeb73b131e22124c6985dcb3dff616a30c,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,unified-2080ti-gpu0,r16-softread-injconf,r16-softread-injconf,fixed,P3 r16 with read softmargin and read-confidence-gated injection,0,completed,2026-07-05T06:49:13+08:00,2026-07-05T07:55:13+08:00,3960.0,66.0,20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-r16-softread-injconf-s124-d123-b64ga4-2080ti-unified-2080ti-gpu0-formal,fvqg-20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-2080ti-r16-softread-injconf-unified-2080ti-gpu0-formal,0.1,0.0,0.0,1,64,16,,,0,0,linear_int,scheduled,False,16,4,0.402,0.961,0.961,0.8,0.8,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/r16-softread-injconf.log,2966c0ba020ab40881dfdb0bc9d6da4f8b542cb8757c3cedf24d817d91b1be17,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/r16-softread-injconf.json,9628f4e0e51d68918e8271ebf4b912d69e7a7d827db9b3bc444e3d7f0d0174cc,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/r16-softread-injconf.json,1188aff305ae2ab12715eb9525e3b9654116da305e3ecf35ba408f6b0b082999,e9f1651,dc558cf
20260705-01-flash-vqg-default-dropout-r16-support-aware-unified,2080ti,unified-2080ti-gpu0,r2-injconf,r2-injconf,fixed,P3 r2 rescue with read-confidence-gated residual injection,0,completed,2026-07-05T07:55:26+08:00,2026-07-05T08:57:26+08:00,3720.0,62.0,20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-r2-injconf-s124-d123-b64ga4-2080ti-unified-2080ti-gpu0-formal,fvqg-20260705-01-flash-vqg-default-dropout-r16-support-aware-unified-2080ti-r2-injconf-unified-2080ti-gpu0-formal,0.1,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,1.06,0.871,0.871,0.42,0.42,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/logs/r2-injconf.log,5468b28a582c67d505c7c8d00c35451d99509c6dbc7958b61b51f77331234b04,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/results/r2-injconf.json,619d13972a914357bb6caf39c6f1ba42de0c9e1ba680aa3c0f06a0b9c0cabc24,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260705-01-flash-vqg-default-dropout-r16-support-aware-unified/outputs/unified-2080ti-gpu0-20260705T020000Z/configs/r2-injconf.json,299271caa7c4048a9310802baa590b03bd741e4e573860e1e56fb7e775a2f448,e9f1651,dc558cf
